arrival_date,state,variety,district,modal_price
Nov,Maharashtra,Yellow,Akola,3477.3
Nov,Maharashtra,Yellow,Ahmednagar,3312.5
Nov,Maharashtra,Other,Vashim,3521.78571428571
Nov,Maharashtra,Other,Sholapur,3616.66666666667
Nov,Maharashtra,Other,Parbhani,3495.5
Nov,Maharashtra,Other,Osmanabad,3571.5
Nov,Maharashtra,Other,Nashik,3483.77272727273
Nov,Maharashtra,Other,Nandurbar,3503.75
Nov,Maharashtra,Other,Nanded,3554.2
Nov,Maharashtra,Other,Nagpur,3533.5
Nov,Maharashtra,Other,Latur,3596
Nov,Maharashtra,Yellow,Jalana,3547.64285714286
Nov,Maharashtra,Other,Jalgaon,3478.4
Nov,Maharashtra,Yellow,Jalgaon,3513.5
Nov,Maharashtra,Yellow,Nagpur,3398.88888888889
Nov,Rajasthan,Other,Kota,3530.6
Nov,Madhya Pradesh,Yellow,Ashoknagar,3517.83333333333
Nov,Rajasthan,Other,Jhalawar,3572.15151515151
Nov,Rajasthan,Other,Chittorgarh,3375.55555555556
Nov,Rajasthan,Other,Bundi,3548.6
Nov,Rajasthan,Other,Bhilwara,1875
Nov,Rajasthan,Other,Baran,3665.5652173913
Nov,Maharashtra,Yellow,Yavatmal,3459.52941176471
Nov,Maharashtra,Yellow,Wardha,3424.65517241379
Nov,Maharashtra,Yellow,Vashim,3545.66666666667
Nov,Maharashtra,Yellow,Pune,3400
Nov,Maharashtra,Yellow,Parbhani,3530.25
Nov,Maharashtra,Yellow,Osmanabad,3602.4
Nov,Maharashtra,Yellow,Nandurbar,3450
Nov,Maharashtra,Yellow,Nanded,3464.3
Nov,Maharashtra,Yellow,Latur,3585.5
Nov,Maharashtra,Other,Jalana,3260.33333333333
Nov,Maharashtra,Yellow,Hingoli,3539.66666666667
Nov,Maharashtra,Other,Hingoli,3503.28571428571
Nov,Madhya Pradesh,Yellow,Mandsaur,3665
Nov,Madhya Pradesh,Yellow,Khargone,3460
Nov,Madhya Pradesh,Yellow,Khandwa,3562
Nov,Madhya Pradesh,Yellow,Jhabua,3419.83333333333
Nov,Madhya Pradesh,Yellow,Jabalpur,2450
Nov,Madhya Pradesh,Yellow,Hoshangabad,3450.44444444444
Nov,Madhya Pradesh,Yellow,Harda,3455.8
Nov,Madhya Pradesh,Yellow,Dhar,3548.92857142857
Nov,Madhya Pradesh,Yellow,Dewas,3497.76923076923
Nov,Madhya Pradesh,Yellow,Damoh,3453
Nov,Madhya Pradesh,Yellow,Chhindwara,3451.66666666667
Nov,Madhya Pradesh,Yellow,Chhatarpur,3500
