Date,Modal Price (Rs./Quintal)
14 Sep 2017,1255
11 Sep 2017,1185
09 Sep 2017,1267
08 Sep 2017,1200
07 Sep 2017,1225
05 Sep 2017,1270
04 Sep 2017,1235
01 Sep 2017,1225
30 Aug 2017,1271
28 Aug 2017,1230
26 Aug 2017,1135
24 Aug 2017,1200
17 Aug 2017,1300
16 Aug 2017,1425
12 Aug 2017,1286
11 Aug 2017,1300
05 Aug 2017,1230
03 Aug 2017,1140
02 Aug 2017,1298
31 Jul 2017,1330
27 Jul 2017,1201
22 Jul 2017,1320
21 Jul 2017,1275
19 Jul 2017,1299
18 Jul 2017,1268
17 Jul 2017,1266
15 Jul 2017,1268
13 Jul 2017,1270
12 Jul 2017,1290
11 Jul 2017,1275
10 Jul 2017,1245
08 Jul 2017,1270
07 Jul 2017,1145
06 Jul 2017,1260
04 Jul 2017,1270
03 Jul 2017,1200
28 Jun 2017,1275
27 Jun 2017,1200
23 Jun 2017,1290
22 Jun 2017,1288
19 Jun 2017,1302
30 May 2017,1240
29 May 2017,1225
27 May 2017,1230
26 May 2017,1260
24 May 2017,1230
23 May 2017,1240
22 May 2017,1260
20 May 2017,1270
19 May 2017,1245
17 May 2017,1205
15 May 2017,1260
13 May 2017,1231
12 May 2017,1231
08 May 2017,1252
06 May 2017,1391
05 May 2017,1311
04 May 2017,1210
03 May 2017,1240
02 May 2017,1210
01 May 2017,1166
27 Apr 2017,1230
25 Apr 2017,1260
24 Apr 2017,1230
22 Apr 2017,1125
21 Apr 2017,1180
20 Apr 2017,1240
18 Apr 2017,1171
17 Apr 2017,1290
13 Apr 2017,1320
11 Apr 2017,1320
10 Apr 2017,1335
08 Apr 2017,1301
07 Apr 2017,1225
06 Apr 2017,1235
04 Apr 2017,1210
03 Apr 2017,1295
27 Mar 2017,1290
23 Mar 2017,1310
22 Mar 2017,1285
21 Mar 2017,1280
20 Mar 2017,1321
16 Mar 2017,1300
14 Mar 2017,1275
11 Mar 2017,1095
08 Mar 2017,1305
07 Mar 2017,1338
06 Mar 2017,1290
04 Mar 2017,1280
03 Mar 2017,1276
02 Mar 2017,1250
01 Mar 2017,1225
28 Feb 2017,1285
27 Feb 2017,1300
23 Feb 2017,1175
21 Feb 2017,1255
20 Feb 2017,1310
16 Feb 2017,1265
15 Feb 2017,1315
