,Date,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal)
15532,21 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2682.0,2926.0,2805.0
15548,21 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2725.0,2810.0,2765.0
15727,22 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2800.0,2800.0
15733,22 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1485.0,2950.0,2885.0
15755,22 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2650.0,2967.0,2805.0
15775,22 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2670.0,2807.0,2757.0
15957,23 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,2845.0,2800.0
15987,23 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2650.0,2930.0,2790.0
16005,23 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2670.0,2807.0,2757.0
16185,24 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2645.0,3000.0,2800.0
16192,24 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1650.0,2960.0,2925.0
16213,24 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2680.0,2940.0,2805.0
16232,24 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2700.0,2820.0,2725.0
16390,25 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2750.0,3021.0,2800.0
16394,25 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1650.0,2960.0,2925.0
16410,25 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2700.0,2946.0,2825.0
16423,25 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2725.0,2800.0,2780.0
16523,26 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,3000.0,3000.0,3000.0
16589,27 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2675.0,2675.0,2675.0
16595,27 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500.0,2940.0,2915.0
16613,27 Mar 17,Indore,Mhow,Soyabean,Other,FAQ,2711.0,2904.0,2805.0
16634,27 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2776.0,2797.0,2776.0
16853,29 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2825.0,2825.0
16856,29 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2600.0,2890.0,2800.0
16952,30 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2800.0,2850.0,2850.0
16955,30 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,2200.0,2935.0,2890.0
16964,30 Mar 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2650.0,2675.0,2650.0
17045,31 Mar 17,Indore,Gautampura,Soyabean,Other,FAQ,2990.0,3000.0,3000.0
17048,31 Mar 17,Indore,Indore,Soyabean,Yellow,FAQ,1500.0,2920.0,2780.0
17136,1 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,2000.0,2915.0,2700.0
17142,1 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2631.0,2862.0,2745.0
17298,3 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2710.0,2858.0,2785.0
17309,3 Apr 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2732.0,2832.0,2821.0
17454,4 Apr 17,Indore,Gautampura,Soyabean,Other,FAQ,2895.0,2913.0,2900.0
17460,4 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1800.0,2950.0,2850.0
17480,4 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2648.0,2893.0,2770.0
17496,4 Apr 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2626.0,2756.0,2751.0
17689,6 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1800.0,2980.0,2845.0
17709,6 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2611.0,2945.0,2780.0
17725,6 Apr 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2758.0,2822.0,2758.0
17884,7 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1870.0,2975.0,2880.0
17903,7 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2610.0,2920.0,2765.0
17922,7 Apr 17,Indore,Sanwer,Soyabean,Yellow,FAQ,2781.0,2837.0,2821.0
18066,8 Apr 17,Indore,Indore,Soyabean,Yellow,FAQ,1500.0,2950.0,2930.0
18079,8 Apr 17,Indore,Mhow,Soyabean,Other,FAQ,2660.0,2930.0,2795.0
